CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
2,1,5,0,0,3,5,0,0,0,0,5,5,12,0,0,1,3,0,1,0,0,1,0,5,0,4,5,0,0,0,0,0,0,0,0,2
1,0,6,0,0,5,4,0,0,0,0,11,2,0,0,0,1,3,1,1,0,0,0,0,1,0,1,9,0,3,0,0,1,0,0,2,2
4,2,12,0,0,10,5,0,0,0,0,19,6,5,0,0,0,4,1,3,0,0,0,0,3,0,4,4,0,3,1,4,1,0,0,0,2
4,1,10,1,0,13,5,1,0,0,2,15,10,3,0,0,0,8,1,2,0,0,0,0,1,0,5,2,0,0,6,3,0,0,0,0,2
2,1,12,1,0,7,4,0,0,0,0,11,4,1,0,0,0,1,0,3,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,2
1,0,12,0,0,9,0,0,0,0,0,13,2,1,0,0,0,3,0,6,0,0,0,0,1,0,1,8,0,2,0,0,0,0,0,1,2
2,2,10,0,0,9,7,0,1,0,0,10,12,4,0,0,0,4,0,3,0,0,0,0,2,0,3,7,0,2,4,3,0,1,0,2,2
1,4,11,0,0,11,4,0,1,0,0,13,9,2,0,0,0,0,0,1,0,0,0,0,2,0,1,5,1,2,0,0,0,0,0,0,2
4,4,9,0,0,7,3,0,1,0,2,11,4,4,0,0,0,5,2,3,0,0,0,0,1,0,2,3,0,0,0,5,0,0,0,0,2
3,1,7,1,0,4,4,0,1,0,0,9,5,2,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,1,0,0,0,1,2
2,1,9,0,0,7,5,0,0,0,0,17,5,0,0,0,0,10,1,5,0,0,1,0,3,0,2,2,1,2,0,9,0,0,0,0,2
1,1,11,0,0,8,3,0,0,0,1,12,1,3,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,2
3,3,9,0,0,10,11,1,0,0,2,6,8,2,0,0,0,6,0,9,1,1,0,0,1,0,3,7,1,1,3,0,0,0,0,0,2
2,1,8,0,0,10,8,0,0,0,0,11,2,3,0,0,0,11,1,3,0,0,0,0,0,0,1,6,2,1,1,6,0,1,0,0,2
1,3,6,0,0,12,4,0,0,0,0,7,5,1,0,0,0,9,0,6,0,0,1,0,0,0,0,7,1,1,3,1,0,0,0,0,2
2,4,8,0,0,7,7,1,0,0,0,8,12,2,0,0,0,2,0,1,1,0,0,0,2,0,1,3,0,3,2,5,2,0,0,0,2
3,5,12,0,0,9,4,0,1,0,1,16,9,1,0,0,1,5,1,1,1,0,0,0,1,0,1,4,0,0,1,3,0,0,0,0,2
1,1,7,0,0,11,7,0,0,0,1,10,6,12,0,0,1,3,0,1,0,0,0,0,2,0,3,6,0,0,0,0,1,0,0,0,2
3,5,27,1,0,20,11,0,0,0,2,25,11,4,0,0,1,4,1,4,0,1,0,0,2,0,2,15,0,2,1,1,3,0,0,0,2
2,1,8,0,0,11,3,0,0,0,0,10,3,5,0,0,1,10,2,4,0,0,1,0,4,0,3,12,0,1,0,0,0,0,0,2,2
2,3,13,0,0,9,2,1,0,0,0,12,8,1,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,1,2,3,0,0,0,0,2
